gender,hsc_p,degree_p,degree_t,etest_p,specialisation,mba_p,salary
M,0.8570514188180074,0.05714285714285716,Sci&Tech,0.10416666666666669,Mkt&HR,58.8,0.0945945945945946
M,0.5867292511201195,0.6137142857142859,Sci&Tech,0.7604166666666666,Mkt&Fin,66.28,0.0
M,0.4090226245137384,0.2285714285714286,Comm&Mgmt,0.5208333333333333,Mkt&Fin,57.8,0.06756756756756757
M,0.48581181992745887,0.4942857142857142,Comm&Mgmt,0.9749999999999999,Mkt&Fin,55.5,0.30405405405405406
M,0.28098997226370814,0.28571428571428575,Sci&Tech,0.35416666666666663,Mkt&Fin,62.14,0.07027027027027027
M,0.6010241092383188,0.4571428571428572,Comm&Mgmt,0.8612500000000001,Mkt&Fin,61.29,0.04189189189189191
M,0.4090226245137384,0.1142857142857143,Comm&Mgmt,0.25,Mkt&HR,60.85,0.08108108108108109
M,0.37486665244292744,0.6371428571428571,Comm&Mgmt,0.20833333333333331,Mkt&Fin,63.7,0.06756756756756757
F,0.7717089822914445,0.08571428571428569,Comm&Mgmt,0.375,Mkt&Fin,68.63,0.024324324324324326
F,0.515681672711756,0.37142857142857144,Comm&Mgmt,0.4583333333333333,Mkt&Fin,64.66,0.0
M,0.3279283123533178,0.27428571428571413,Comm&Mgmt,0.20833333333333331,Mkt&Fin,62.54,0.13513513513513514
M,0.3449967996586303,0.3637706511175899,Comm&Mgmt,0.009999999999999953,Mkt&Fin,77.89,0.048648648648648665
M,0.3023255813953489,0.28571428571428575,Comm&Mgmt,0.0,Mkt&HR,56.7,0.08783783783783786
F,0.5370172818433967,0.8285714285714286,Comm&Mgmt,0.9375,Mkt&Fin,69.06,0.2608108108108108
F,0.21271602304245785,0.46371428571428586,Sci&Tech,0.11520833333333336,Mkt&HR,68.81,0.21621621621621623
F,0.19564753573714533,0.24971428571428558,Sci&Tech,0.875,Mkt&Fin,63.62,0.13513513513513514
M,1.0000000000000002,0.6531428571428572,Sci&Tech,0.9875,Mkt&Fin,74.01,0.21621621621621623
M,0.6010241092383188,0.28571428571428575,Comm&Mgmt,0.9166666666666665,Mkt&Fin,57.55,0.05405405405405406
M,0.3449967996586303,0.28571428571428575,Comm&Mgmt,0.375,Mkt&HR,57.69,0.08783783783783786
M,0.5476850864092171,0.3285714285714286,Comm&Mgmt,0.4864583333333332,Mkt&Fin,64.15,0.20270270270270274
F,0.48367825901429495,0.48571428571428577,Comm&Mgmt,0.041666666666666685,Mkt&HR,56.7,0.06756756756756757
F,0.6436953275016002,0.2971428571428573,Comm&Mgmt,0.018541666666666734,Mkt&HR,62.21,0.10540540540540541
F,0.3023255813953489,0.7142857142857144,Comm&Mgmt,0.7916666666666666,Mkt&Fin,72.78,0.08108108108108109
F,0.579688500106678,0.4571428571428572,Comm&Mgmt,0.4375,Mkt&HR,62.74,0.13513513513513514
F,0.5370172818433967,0.27428571428571413,Sci&Tech,0.16666666666666669,Mkt&HR,55.47,0.16216216216216217
F,0.15297631747386392,0.28571428571428575,Comm&Mgmt,0.07708333333333345,Mkt&HR,56.86,0.05405405405405406
M,0.366332408790271,0.2285714285714286,Sci&Tech,0.8958333333333333,Mkt&Fin,62.56,0.28513513513513516
F,0.5583528909750374,0.6857142857142857,Comm&Mgmt,0.20833333333333331,Mkt&Fin,66.72,0.11756756756756757
M,0.7717089822914445,0.34285714285714286,Comm&Mgmt,0.9375,Mkt&HR,62.9,0.13513513513513514
F,0.47301045444847456,0.7142857142857144,Comm&Mgmt,0.8125,Mkt&Fin,69.7,0.0
M,0.19564753573714533,0.02857142857142858,Comm&Mgmt,0.5833333333333333,Mkt&Fin,54.55,0.00540540540540542
M,0.23831875400042676,0.34285714285714286,Comm&Mgmt,0.29166666666666663,Mkt&Fin,62.46,0.06756756756756757
F,0.4772775762748028,0.3542857142857145,Comm&Mgmt,0.3125,Mkt&HR,62.98,0.0
M,0.4090036270535524,0.4571428571428572,Sci&Tech,0.7708333333333333,Mkt&HR,71.04,0.33783783783783783
F,0.19564753573714533,0.37142857142857144,Comm&Mgmt,0.4821018835616438,Mkt&HR,65.56,0.021621621621621637
M,0.3364625560059739,0.2571428571428572,Comm&Mgmt,0.4375,Mkt&HR,52.71,0.02702702702702703
M,0.4388734798378495,0.15428571428571428,Comm&Mgmt,0.375,Mkt&Fin,66.88,0.05405405405405406
M,0.5370172818433967,0.5142857142857143,Comm&Mgmt,0.625,Mkt&Fin,63.59,0.21621621621621623
M,0.23831875400042676,0.34285714285714286,Comm&Mgmt,0.5,Mkt&Fin,57.99,0.0918918918918919
M,0.3147002346917005,0.4602857142857143,Sci&Tech,0.15833333333333338,Mkt&Fin,56.66,0.08783783783783786
M,0.4090036270535524,0.4571428571428572,Comm&Mgmt,0.20833333333333331,Mkt&Fin,57.24,0.08108108108108109
M,0.481544698101131,0.31114285714285717,Comm&Mgmt,0.2416666666666667,Mkt&Fin,62.48,0.13513513513513514
F,0.2852570940900364,0.3257142857142859,Sci&Tech,0.1875,Mkt&Fin,59.69,0.05405405405405406
M,0.47301045444847456,0.5428571428571429,Comm&Mgmt,0.22916666666666663,Mkt&Fin,58.78,0.05405405405405406
M,0.4943460635801153,0.28571428571428575,Comm&Mgmt,0.39416666666666667,Mkt&HR,58.46,0.10135135135135136
M,0.5903563046724984,0.31428571428571433,Comm&Mgmt,0.38979166666666654,Mkt&Fin,60.99,0.10135135135135136
M,0.47301045444847456,0.28571428571428575,Sci&Tech,0.41666666666666663,Mkt&Fin,68.07,0.10135135135135136
M,0.21698314486878606,0.17142857142857143,Sci&Tech,0.8125,Mkt&Fin,65.45,0.21621621621621623
M,0.41519095370172837,0.4285714285714286,Comm&Mgmt,0.9375,Mkt&Fin,66.94,0.05405405405405406
M,0.3449967996586303,0.6285714285714286,Comm&Mgmt,0.9479166666666666,Mkt&Fin,68.53,0.05405405405405406
M,0.7040751013441433,0.4491428571428572,Comm&Mgmt,0.75,Mkt&Fin,59.75,0.024324324324324326
M,0.29805845956902066,0.4057142857142858,Comm&Mgmt,0.7139583333333333,Mkt&Fin,67.2,0.1837837837837838
F,0.41753787070620885,0.4551428571428574,Comm&Mgmt,0.22916666666666663,Mkt&Fin,64.27,0.04054054054054054
M,0.6223597183699595,0.2571428571428572,Sci&Tech,0.3958333333333333,Mkt&Fin,57.65,0.4054054054054055
M,0.8549178579048433,0.24285714285714288,Sci&Tech,0.7508333333333335,Mkt&Fin,59.42,0.0945945945945946
F,0.23831875400042676,0.37142857142857144,Comm&Mgmt,0.35416666666666663,Mkt&HR,62.35,0.05405405405405406
M,0.25965436313206747,0.31428571428571433,Comm&Mgmt,0.75,Mkt&Fin,70.2,0.13513513513513514
M,0.6010241092383188,0.34285714285714286,Sci&Tech,0.7083333333333333,Mkt&Fin,66.69,0.13513513513513514
M,0.25965436313206747,0.4,Sci&Tech,0.10416666666666669,Mkt&Fin,62.0,0.13513513513513514
F,0.8320887561339876,0.6057142857142859,Comm&Mgmt,0.5987499999999999,Mkt&Fin,76.18,0.2702702702702703
M,0.25965436313206747,0.2285714285714286,Comm&Mgmt,0.35416666666666663,Mkt&Fin,57.03,0.02702702702702703
F,0.23831875400042676,0.48571428571428577,Comm&Mgmt,0.16666666666666669,Mkt&HR,64.36,0.013513513513513514
F,0.515681672711756,0.37142857142857144,Sci&Tech,0.25,Mkt&HR,62.36,0.013513513513513514
F,0.8357158096863666,0.7428571428571429,Comm&Mgmt,0.875,Mkt&Fin,68.03,0.13513513513513514
F,0.38766801792191175,0.28571428571428575,Comm&Mgmt,0.4583333333333333,Mkt&Fin,59.47,0.04054054054054054
M,0.23831875400042676,0.2285714285714286,Comm&Mgmt,0.08083333333333342,Mkt&Fin,54.97,0.08108108108108109
M,0.579688500106678,0.2571428571428572,Comm&Mgmt,0.947083333333333,Mkt&Fin,62.16,0.2972972972972973
F,0.4090036270535524,0.5714285714285715,Comm&Mgmt,0.33333333333333337,Mkt&Fin,64.44,0.13513513513513514
F,0.47301045444847456,0.2571428571428572,Comm&Mgmt,0.41666666666666663,Mkt&Fin,57.31,0.02702702702702703
M,0.4516748453168339,0.34285714285714286,Comm&Mgmt,0.5833333333333333,Mkt&HR,60.44,0.24324324324324326
F,0.21698314486878606,0.34285714285714286,Comm&Mgmt,0.15625000000000006,Mkt&Fin,61.31,0.13513513513513514
M,0.579688500106678,0.48571428571428577,Sci&Tech,0.7291666666666666,Mkt&HR,65.83,0.05405405405405406
M,0.25965436313206747,0.2571428571428572,Comm&Mgmt,0.10416666666666669,Mkt&HR,58.23,0.21621621621621623
M,0.8357158096863666,0.7714285714285716,Comm&Mgmt,0.625,Mkt&HR,73.52,0.0
M,0.665030936633241,0.37142857142857144,Comm&Mgmt,0.7083333333333333,Mkt&Fin,58.31,0.13513513513513514
F,0.4090036270535524,0.4571428571428572,Sci&Tech,0.15000000000000008,Mkt&HR,54.8,0.06756756756756757
M,0.21698314486878606,0.14285714285714285,Comm&Mgmt,0.16666666666666669,Mkt&HR,53.94,0.06756756756756757
F,0.6010241092383188,0.31428571428571433,Comm&Mgmt,0.4614583333333334,Mkt&Fin,63.08,0.10810810810810811
M,0.366332408790271,0.37142857142857144,Comm&Mgmt,0.07708333333333345,Mkt&HR,55.01,0.06756756756756757
F,0.25965436313206747,0.28571428571428575,Comm&Mgmt,0.8125,Mkt&Fin,60.5,0.021621621621621637
M,0.46874333262214635,0.3028571428571427,Comm&Mgmt,0.9583333333333333,Mkt&Fin,70.85,0.13513513513513514
M,0.515681672711756,0.48571428571428577,Sci&Tech,0.625,Mkt&Fin,67.05,0.05405405405405406
M,0.6223597183699595,0.6285714285714286,Sci&Tech,0.9791666666666666,Mkt&HR,70.48,0.10270270270270271
M,0.37486665244292744,0.24571428571428558,Comm&Mgmt,0.4821018835616438,Mkt&Fin,64.34,1.0
F,0.3449967996586303,0.38857142857142846,Sci&Tech,0.11812500000000009,Mkt&HR,71.49,0.06756756756756757
F,0.3407296778323021,0.37999999999999995,Comm&Mgmt,0.6333333333333334,Mkt&Fin,71.0,0.048648648648648665
M,0.17431192660550465,0.48571428571428577,Comm&Mgmt,0.20833333333333331,Mkt&HR,56.7,0.05405405405405406
M,0.43033923618519315,0.238,Others,0.29166666666666663,Mkt&HR,61.26,0.06756756756756757
F,0.47301045444847456,0.48571428571428577,Comm&Mgmt,0.5208333333333333,Mkt&Fin,73.33,0.20270270270270274
F,0.21698314486878606,0.5571428571428572,Sci&Tech,0.41666666666666663,Mkt&Fin,68.2,0.013513513513513514
F,0.19564753573714533,0.37142857142857144,Comm&Mgmt,0.11458333333333331,Mkt&HR,58.4,0.06756756756756757
M,0.481544698101131,0.6205714285714286,Sci&Tech,0.65,Mkt&HR,76.26,0.2702702702702703
M,0.8293151269468745,0.28571428571428575,Comm&Mgmt,0.8333333333333333,Mkt&Fin,68.55,0.06756756756756757
F,0.13164070834222324,0.17142857142857143,Others,0.625,Mkt&Fin,60.78,0.21621621621621623
M,0.366332408790271,0.2285714285714286,Comm&Mgmt,0.5083333333333334,Mkt&HR,53.49,0.13513513513513514
M,0.28098997226370814,0.6000000000000001,Comm&Mgmt,0.3125,Mkt&HR,60.98,0.06756756756756757
F,0.878387027949648,0.4571428571428572,Comm&Mgmt,0.9166666666666665,Mkt&Fin,67.13,0.06756756756756757
F,0.11030509921058251,0.37142857142857144,Comm&Mgmt,0.11666666666666675,Mkt&HR,65.63,0.0
M,0.25965436313206747,0.4571428571428572,Comm&Mgmt,0.125,Mkt&HR,60.41,0.033783783783783786
F,0.28098997226370814,0.48571428571428577,Sci&Tech,0.9583333333333333,Mkt&Fin,71.77,0.06756756756756757
M,0.4090036270535524,0.08571428571428569,Comm&Mgmt,0.16666666666666669,Mkt&Fin,54.43,0.02702702702702703
M,0.29805845956902066,0.38571428571428573,Comm&Mgmt,0.125,Mkt&Fin,56.94,0.08783783783783786
M,0.19564753573714533,0.4980000000000002,Sci&Tech,0.20833333333333331,Mkt&Fin,61.29,0.08108108108108109
M,0.2999786643908684,0.4191428571428572,Comm&Mgmt,0.8125,Mkt&Fin,60.39,0.13513513513513514
M,0.31640708342223167,0.4357142857142857,Sci&Tech,0.4583333333333333,Mkt&HR,63.23,0.2702702702702703
M,0.25965436313206747,0.28571428571428575,Comm&Mgmt,0.7291666666666666,Mkt&HR,55.14,0.0445945945945946
M,0.4943460635801153,0.2571428571428572,Comm&Mgmt,0.6875,Mkt&Fin,62.28,0.13513513513513514
F,0.7503733731598038,0.0,Others,0.14583333333333337,Mkt&Fin,64.08,0.05405405405405406
M,0.16705781950074675,0.05714285714285716,Sci&Tech,0.125,Mkt&Fin,61.3,0.6621621621621622
M,0.3023255813953489,0.5428571428571429,Comm&Mgmt,0.6875,Mkt&Fin,58.87,0.0945945945945946
F,0.20631534030296572,0.8,Sci&Tech,1.0,Mkt&Fin,65.25,0.05405405405405406
M,0.17431192660550465,0.2571428571428572,Sci&Tech,0.75,Mkt&Fin,62.48,0.1891891891891892
M,0.25965436313206747,0.1142857142857143,Comm&Mgmt,0.41666666666666663,Mkt&Fin,53.2,0.06756756756756757
M,0.3962022615745681,0.2571428571428572,Sci&Tech,0.625,Mkt&HR,52.72,0.07432432432432433
M,0.24898655856624713,0.13999999999999999,Comm&Mgmt,0.9041666666666668,Mkt&Fin,55.03,0.13513513513513514
M,0.4943460635801153,0.2571428571428572,Sci&Tech,0.5208333333333333,Mkt&HR,72.29,0.13513513513513514
M,0.7845103477704287,0.6071428571428572,Comm&Mgmt,0.525,Mkt&Fin,66.06,0.11486486486486487
M,0.3449967996586303,0.2285714285714286,Sci&Tech,0.5208333333333333,Mkt&Fin,66.46,0.4054054054054055
F,0.4623426498826542,0.21000000000000005,Comm&Mgmt,0.06333333333333335,Mkt&Fin,65.52,0.06756756756756757
M,0.23831875400042676,0.1142857142857143,Comm&Mgmt,0.27083333333333337,Mkt&HR,52.38,0.05405405405405406
M,0.6223597183699595,0.4571428571428572,Comm&Mgmt,0.2872916666666666,Mkt&Fin,66.04,0.12162162162162163
M,0.15297631747386392,0.0,Comm&Mgmt,0.7083333333333333,Mkt&HR,52.64,0.13513513513513514
M,0.0,0.23628571428571418,Sci&Tech,0.29166666666666663,Mkt&Fin,66.23,0.4054054054054055
F,0.19564753573714533,0.0,Comm&Mgmt,0.10416666666666669,Mkt&HR,57.9,0.02702702702702703
F,0.9850650736078517,0.6571428571428573,Comm&Mgmt,0.8125,Mkt&Fin,70.81,0.6081081081081081
M,0.11030509921058251,0.34285714285714286,Sci&Tech,0.47916666666666663,Mkt&HR,68.07,0.20270270270270274
M,0.4410070407510135,0.19428571428571423,Comm&Mgmt,0.14583333333333337,Mkt&Fin,56.6,0.08783783783783786
M,0.5583528909750374,0.37142857142857144,Comm&Mgmt,0.20833333333333331,Mkt&HR,61.82,0.10270270270270271
F,0.4516748453168339,0.6285714285714286,Others,0.6666666666666666,Mkt&HR,71.43,0.07027027027027027
M,0.31299338596116927,0.31428571428571433,Sci&Tech,0.9375,Mkt&Fin,64.86,0.10810810810810811
